País,Coca_cultivo,Opio_cultivo,Cocaína_produccion,Categoría_Cocaína_produccion,Opioides_produccion,Categoría_Opioides_produccion,Metanfetaminas_produccion,Categoría_Metanfetaminas_produccion,Cocaína_consumo,Categoría_Cocaína_consumo,Cannabis_consumo,Categoría_Cannabis,Metanfetaminas_consumo,Categoría_Metanfetaminas_consumo,Opioides_consumo,Categoría_Opioides_consumo,Cocaína_trafico,Cannabis_trafico,Metanfetaminas_trafico,Heroína_trafico,Población,Consumo_Tn,Mercado_USD
Iceland,,,,,,,,,0.99,Media,5.27,Media,1.04,Alta,,,,,,,,,
Israel,,,,,,,,,0.4,Baja,20.5,Alta,0.7,Media,0.1,Muy baja,,,,21618.28,,,
Italy,,,,,,,1.0,MUY BAJA,1.08,Media,8.55,Alta,0.4,Baja,1.0,Media,47145.7888460069,2739.99,5338.08,33596.11,656593.0,54.497219,2396256343.73475
Jamaica,,,,,,,,,0.98,Media,12.61,Alta,0.81,Media,1.0,Media,,,,,,,
Japan,,,,,,,,,0.04,Muy baja,0.14,Muy baja,0.13,Muy Baja,,,,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,719.45,,,,,
Kenya,,,,,,,,,0.1,Muy baja,1.2,Muy baja,,,,,36560.06,293.63,73120.13,27420.05,,,
Kyrgyzstan,,,,,,,,,,,,,,,,,,1500.0,,10000.0,,,
Kuwait,,,,,,,,,,,,,,,,,,11513.16,,,,,
Laos,,4443.38,,,,,,,,,,,,,,,,300.0,,,,,
Latvia,,,,,,,,,,,,,,,,,42149.63,,4500.0,,,,
Lebanon,,,,,,,,,,,,,,,,,,5600.0,,,,,
Latvia,,,,,,,,,0.67,Media,4.03,Media,0.4,Baja,0.53,Media,,5603.57,,,13400.0,1.1122,46878818.486
Lithuania,,,,,,,,,,,,,,,,,,6550.95,,,,,
Lithuania,,,,,,,2.0,MUY BAJA,0.3,Baja,3.1,Baja,0.23,Baja,0.43,Baja,,,,,,,
Luxembourg,,,,,,,,,0.45,Baja,5.1,Media,0.1,Muy Baja,0.38,Baja,,,,,,,
North Macedonia,,,,,,,,,0.58,Baja,3.86,Baja,0.2,Baja,0.5,Baja,,2158.49,,12644.89,,,
Madagascar,,,,,,,,,,,,,,,,,,18.12,,,,,
Malaysia,,,,,,,25.0,MEDIA,,,,,,,,,48355.9,564.33,8704.06,21340.77,,,
Malaysia,,,,,40.0,ALTA,,,,,,,,,,,,,,,,,
Maldives,,,,,,,,,0.04,Muy baja,2.55,Baja,0.1,Muy Baja,1.46,Alta,,,,,,,
Malta,,,,,,,,,1.14,Media,2.0,Muy baja,0.47,Baja,0.34,Baja,,,,,,,
Morocco,,,,,,,,,0.43,Baja,10.47,Alta,,,0.02,Muy baja,,,,,,,
Mexico,,20000.0,1.0,MUY BAJA,14.0,MEDIA,191.0,ALTA,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,71174.38,,,126448.89,,,
Mongolia,,,,,,,,,,,,,,,,,,279.17,,,,,
Montenegro,,,,,,,,,0.98,Media,2.77,Baja,0.49,Media,,,35587.19,1175.81,,17913.59,,,
Morocco,,,,,,,,,,,,,,,,,,514.64,,,,,
Mozambique,,,,,,,1.0,MUY BAJA,,,,,,,,,,,,,,,
Myanmar,,43223.08,,,8.0,BAJA,6.0,BAJA,,,,,,,,,,,,,,,
Mexico,,,,,,,,,0.65,Media,1.65,Muy baja,0.21,Baja,0.24,Muy baja,10201.67,56.64,4815.5,19910.0,784635.0,65.124705,664380749.25735
Nepal,,,,,,,,,,,,,,,,,,213.04,,,,,
New Zealand,,,,,,,297.0,ALTA,,,,,,,,,,,,,,,
Nigeria,,,,,,,8.0,BAJA,0.09,Muy baja,,,0.09,Muy Baja,4.66,Alta,,138.3,,,,,
Norway,,,,,,,,,1.03,Media,4.66,Media,0.5,Media,,,48200.548372366,,,33817.75,,,
New Zealand,,,,,,,,,1.1,Media,13.83,Alta,1.03,Alta,0.91,Media,,,106307.58,,,,
New Zealand,,,,,10.0,MEDIA,,,,,,,,,,,,,,,,,
Oman,,,,,,,,,,,,,,,,,,2012.99,,,,,
Netherlands,,,,,,,,,,,,,,,,,41899.0833333333,,,22239.75,,,
Pakistan,,,,,,,,,0.01,Muy baja,3.6,Baja,0.08,Muy Baja,1.55,Alta,,346.4,4490.7490569427,2586.05,,,
Palestine,,,,,,,,,,,,,,,,,75000.0,4464.29,,,,,
Panama,,,1.0,MUY BAJA,,,,,,,,,,,,,,,,,,,
Panama,,,,,,,,,0.1,Muy baja,0.77,Muy baja,,,,,,,3500.0,14000.0,,,
Paraguay,,,12.0,BAJA,,,,,,,,,,,,,7557.21894342882,,,,,,
Netherlands,,,42.0,MEDIA,5.0,BAJA,62.0,ALTA,2.18,Alta,9.32,Alta,1.64,Alta,,,,,,,,,
Peru,58499.21,,2202.0,ALTA,,,,,0.68,Media,1.31,Muy baja,,,,,2800.0,135.0,,,210603.0,17.480049,48944137.2
Poland,,,1.0,MUY BAJA,,,48.0,ALTA,0.56,Baja,4.84,Media,1.04,Alta,,,42099.79,2858.63,11694.39,23047.38,215600.0,17.8948,753367322.092
Portugal,,,,,,,2.0,MUY BAJA,0.2,Muy baja,3.53,Baja,0.02,Muy Baja,,,32824.5689834852,,,30022.9166666667,,,
United Kingdom,,,,,,,,,,,,,,,,,57087.6319862155,2562.87,44987.146529563,33375.0545194012,30552.0,2.535816,97665533.18304
United Kingdom,,,,,,,,,1.65,Alta,4.85,Media,0.8,Media,,,,,,,,,
Czechia,,,,,,,,,,,,,,,,,,,,,31500.0,2.6145,96730303.635
Dominican Rep.,,,,,,,,,0.32,Baja,0.68,Muy baja,,,0.14,Muy baja,,,,,,,
Romania,,,1.0,MUY BAJA,,,,,0.25,Muy baja,2.25,Muy baja,0.08,Muy Baja,0.25,Muy baja,,5316.01,,21074.82,,,
Saint Lucia,,,,,,,,,0.6,Baja,8.87,Alta,,,,,,,,,,,
Senegal,,,1.0,MUY BAJA,,,,,,,,,,,,,,1845.73,,,,,
Serbia,,,,,,,,,0.1,Muy baja,1.8,Muy baja,0.15,Muy Baja,5.15,Alta,,1725.34,,15421.12,,,
Sri Lanka,,,,,,,,,,,,,,,,,177609.98,1731.53,4567.11373635575,145917.64,,,
